school.x,year,entity1,entity2,entity3,entity4,increment1,increment2,increment3,increment4,ltss1,ltss2r,ltss3,dircheck1,ltss4r,lti1r,dircheck2,lti2,lti3r,ladder,income,gender,anagramwords,correctwords,totalwords,collegetype
Barton college,2,NA,NA,NA,NA,4,6,3,4,5,3,6,NA,4,2,NA,7,3,5,3,2,"leg, keg, age, rag, gal, ace, elk, arc, gel, ear",10,10,private
Penn State,1,NA,NA,NA,NA,4,4,4,5,5,3,5,NA,3,2,NA,5,2,7,2,1,"Clerk, Lack, Care, Cage, Elk, Rake, Age, Real, Gel, Leg, Rag",11,11,public
,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
UCLA,5,NA,NA,NA,NA,3,2,2,5,2,6,2,NA,4,3,NA,4,3,7,2,1,"race, lake, care, rag, ark, cage, lace, gear, earl, ear",10,10,public
Ashworth College,1,NA,NA,NA,NA,6,6,6,6,7,1,7,NA,1,1,NA,7,1,6,2,2,"creak, leak, lag, gare, gale, kel, race, rag, kale, rake, rale, keg, gear, are, ale, ack, ace, age, car, care, cake, real, ",19,23,private
none,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
Ball State University,3,2,2,1,4,NA,NA,NA,NA,2,5,3,NA,6,6,NA,2,6,7,2,1,"rake, cake, keg, leg, crag, real, ",6,7,public
kansas,2,5,2,2,2,NA,NA,NA,NA,3,2,6,NA,3,5,5,4,5,8,3,1,"rake, car, rag, lake, cake, care, leak, gear, ",8,9,public
penn state ,1,4,5,3,2,NA,NA,NA,NA,4,2,6,NA,5,3,NA,4,5,7,4,1,"lake, cage, cake, rake, rage, race, lear, car, rag, ",9,10,public
lee university,4,NA,NA,NA,NA,5,5,5,5,6,2,6,NA,2,2,NA,6,2,7,3,1,"care, car, cake, rake, gear, lake, lark, acre, leak, are, era, ark, lace, race, rage, ear, earl, age",18,18,private
University of Virginia,2,NA,NA,NA,NA,6,4,5,5,6,2,6,NA,2,3,NA,5,4,7,2,2,"keg, leg, lake, cake, rake, are, care, leak, ace, race, grace",11,11,public
University of Tennessee at Martin,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,public
Hunter College,2,1,3,2,2,NA,NA,NA,NA,3,5,4,NA,5,3,NA,5,3,7,3,1,"Lake, Keg, Rag, Rake, Car, ",5,6,public
University of Arizona,4,3,2,2,2,NA,NA,NA,NA,5,2,6,NA,2,6,NA,2,6,4,7,1,"lake, creak, glare, recal, regal, large, acre, cake, care, lear, leak, race, reck, lark, lcak, gear",14,16,public
University of Connecticut,4,3,2,3,5,NA,NA,NA,NA,3,4,4,NA,3,5,NA,3,5,8,1,2,"LEAK, GRACE, ACE, LACE, KALE, GEAR, LARGE, CAGE, AGE, RAGE, RAKE, LAKE, CAKE, EAR, CAR, CARE, GALE, ALE, LAG, RAG, ",20,21,public
Cogswell Polytechnical,5,NA,NA,NA,NA,5,5,5,4,5,4,NA,NA,6,1,NA,7,1,4,7,1,"lag, ",1,2,private
Washington University in St Louis,5,4,3,3,4,NA,NA,NA,NA,5,6,5,NA,5,6,NA,4,6,4,2,1,"Lake, creak, lag, rake, reak, cake, rale, race, keg, rag, leg, car, care, kale, ",13,15,public
University of Washington,4,NA,NA,NA,NA,4,4,5,5,6,3,5,NA,4,4,NA,4,3,5,5,2,"rag, rage, lake, care, car, lag, lack, cake, leg, keg, crag, ",11,12,public
Penn State,2,NA,NA,NA,NA,6,2,5,5,6,2,6,NA,2,2,NA,6,2,3,8,2,"rake, race, car, rag, keg, arc, lack, large",8,8,public
university of maine,2,NA,NA,NA,NA,3,4,6,6,5,2,7,NA,2,2,NA,5,2,6,2,1,"rag, rake, keg, leg, kale, lack",6,6,public
University of Utah,3,2,1,1,3,NA,NA,NA,NA,5,3,6,NA,1,2,NA,6,2,5,8,2,"rack, car, are, real, gal, gale, care, kale, ale, leak, lake, lag, rake, crag, rag, cage, age, ",17,18,public
UNLV,6,NA,NA,NA,NA,4,3,3,3,4,5,3,NA,5,6,NA,3,6,8,2,2,"race, cake, rake, lake, leak, gear, rear, care, rare, race, lace, leg, keg, ",10,14,public
St. John's University,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,private
University of New Meixco,3,3,3,3,3,NA,NA,NA,NA,7,1,7,NA,1,1,NA,7,1,10,1,1,"rake, gel, lake, cake, keg, rack, earl, are, rag, lag, leg, race, car, ear, ace, grace, lace, kale, real, ",19,20,public
University of Phoenix,3,1,1,1,2,NA,NA,NA,NA,6,2,6,NA,2,3,NA,6,2,6,1,2,"cage, real, age, lake, crag, rag, rale, ale, leak, car, care, are, rake, rage, ear, gel, gear, grace, race, ace, ark, lark, lag, ",23,24,public
Purdue University,2,NA,NA,NA,NA,4,5,5,5,6,2,6,NA,2,3,NA,5,3,4,6,1,"rack, kale, rag, gal, race, lace, keg, rage, cage, ale, car, ace, are, care, lear, reak, ",15,17,public
Florida International University,4,1,1,1,1,NA,NA,NA,NA,7,7,1,NA,7,4,NA,5,5,9,1,2,"keg, gal, leak, car, leg, lark, ark, ear, care, are, age, lake, rake, cake, creak, gale, ",16,17,public
University of Pittsburgh,4,1,1,1,1,NA,NA,NA,NA,7,1,7,NA,1,1,NA,7,5,4,2,1,"creak, real, lake, lager, race, grace, lace, gale, kale",9,9,public
Stanford,3,5,5,5,3,NA,NA,NA,NA,4,5,3,NA,6,5,NA,3,6,7,5,1,"Laker, acre, clear, lake, grace, regal, ace, age, ark, car, ",10,11,private
marshall university,3,4,4,4,3,NA,NA,NA,NA,6,2,5,4,5,5,NA,5,5,4,7,1,"grace, ace, lace, race, lake, rake, cake, ale, rale, kale, gale, real, ear, gear, lear, lare, are, leak, rack, lack, rae, real",19,22,public
