MedianIncome_BlockGroup,gpa,Fixed,Check.1a,Check.1b,Growth,Check.2a,Check.2b,Control,persist1,persist2,persist3,persist4,persist5,persist6,Age,Gender,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,Race_7,LadderUS
"112,642",3.8857,NA,NA,NA,NA,NA,NA,1,5,2,2,3,3,2,15,1,NA,NA,NA,1,NA,NA,1,6
"56,912",4.2467,1,1,2,NA,NA,NA,NA,4,4,5,3,4,5,14,2,NA,NA,NA,NA,NA,NA,1,5
"60,313",3.2143,1,1,2,NA,NA,NA,NA,1,2,2,2,4,2,14,2,NA,NA,1,NA,NA,NA,NA,4
"77,778",4.3688,1,1,2,NA,NA,NA,NA,2,2,1,1,1,2,14,2,NA,NA,NA,NA,NA,NA,1,8
"77,778",3.775,NA,NA,NA,1,1,2,NA,4,5,6,6,5,6,14,1,NA,NA,NA,NA,NA,NA,1,6
"57,872",3.82,NA,NA,NA,NA,NA,NA,1,3,3,5,5,2,3,14,2,NA,NA,1,NA,NA,NA,NA,4
"52,367",2.8857,NA,NA,NA,NA,NA,NA,1,7,7,7,7,7,7,14,1,NA,1,NA,NA,NA,NA,NA,5
NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178,750",3.6353,1,1,2,NA,NA,NA,NA,5,2,3,3,2,2,14,1,NA,NA,NA,NA,NA,NA,1,7
"132,361",4.3875,NA,NA,NA,NA,NA,NA,1,2,2,3,6,6,2,15,1,NA,NA,NA,NA,NA,NA,1,7
"98,438",3.3143,1,1,2,NA,NA,NA,NA,3,3,5,3,3,2,14,1,NA,NA,NA,NA,NA,NA,1,2
"112,642",4.3588,1,1,2,NA,NA,NA,NA,5,2,2,2,2,3,14,2,NA,NA,NA,NA,NA,NA,1,8
"77,778",3.9,NA,NA,NA,NA,NA,NA,1,1,2,2,6,6,7,14,1,NA,NA,NA,NA,NA,NA,1,3
